Code,Message,Severity,File,Project,Line,Column
AWFW27,Loading file C:\Users\eblen\AppData\Local\Temp\WFNetMAP\0408082604119\libs\Collectors\Mobilize.Collectors.UICollector.WFPProcessor.5.2.21\Build\Mobilize.Collectors.UICollector.WFPProcessor.dll,Error,,,,
AWFW27,Loading file C:\Users\eblen\AppData\Local\Temp\WFNetMAP\0408082604119\libs\Services\Mobilize.Services.WFHtmlGenerators.5.2.21\Build\Mobilize.Services.WFHtmlGenerators.dll,Error,,,,
